ToxicParser Profiler
====================
Target: parser
Profiler: eprof
Profile type: time
Matching: all functions
File limit: 20

Projects: man, bin, LICENSES, .ort, .github, lib, .git
Collected 20 files to profile

Loading code...
Running baseline measurement...

Baseline Results:
-----------------
Files processed: 20
Total AST nodes: 20850
Total bytes: 315762
Baseline time: 881.66 ms
Throughput: 23649.0 AST nodes/sec
Throughput: 349.75 KB/sec

Running profiler (eprof, time)...

Using eprof
Warmup...


Profile results of #PID<0.195.0>
#                                                                                      CALLS    %   TIME µS/CALL
Total                                                                                1104175 100. 758662    0.07
ToxicParser.Grammar.Calls.parse_without_led/4                                           1439 0.00    249    0.17
ToxicParser.Grammar.Containers.parse_tuple/4                                            2859 0.00    249    0.09
ToxicParser.Grammar.Blocks.expect_kind_with_meta/3                                      2543 0.00    249    0.10
ToxicParser.Grammar.Strings.trim_fragment/5                                              928 0.00    250    0.27
ToxicParser.Grammar.Calls.extract_meta/1                                                6504 0.00    251    0.04
Toxic.NormalTokenizer.Sigil.tokenize_sigil/5                                            3161 0.00    251    0.08
Enum.filter/2                                                                           6544 0.00    252    0.04
ToxicParser.Grammar.Maps.parse_map_close/3                                               929 0.00    253    0.27
ToxicParser.Grammar.Blocks.build_section_value/1                                        2309 0.00    257    0.11
anonymous fn/3 in ToxicParser.Grammar.CallsPrivate.parse_call_args_parens/3             5428 0.00    258    0.05
ToxicParser.Grammar.Strings.string_kind/1                                               7485 0.00    266    0.04
ToxicParser.Grammar.Bitstrings.finalize_bitstring_items/1                               3088 0.00    282    0.09
ToxicParser.Grammar.Strings.closing_for/1                                               7485 0.00    286    0.04
Enum.any?/2                                                                             7573 0.00    291    0.04
ToxicParser.Grammar.Containers.token_meta/1                                             7630 0.00    293    0.04
ToxicParser.Pratt.extract_meta/1                                                        7520 0.00    297    0.04
anonymous fn/4 in ToxicParser.Grammar.Containers.parse_list_base/3                      2018 0.00    297    0.15
anonymous fn/1 in ToxicParser.Grammar.Strings.has_interpolations?/1                     8250 0.00    303    0.04
:unicode.characters_to_list/1                                                            164 0.00    303    1.85
ToxicParser.Pratt.parse_unary/4                                                         2806 0.00    304    0.11
ToxicParser.Grammar.Containers.parse_container_base/3                                   2747 0.00    305    0.11
:elixir_interpolation.unescape_string/1                                                 8136 0.00    306    0.04
ToxicParser.Grammar.Maps.parse_map_args_body/7                                          1055 0.00    314    0.30
Keyword.delete/2                                                                        4130 0.00    319    0.08
ToxicParser.Precedence.bp_from_binary/1                                                 4538 0.00    324    0.07
ToxicParser.EventLog.env/3                                                              5086 0.00    324    0.06
ToxicParser.Grammar.Containers.finalize_tuple_items/1                                   3743 0.00    325    0.09
ToxicParser.Grammar.Stabs.apply_parens_meta/3                                           4246 0.00    328    0.08
ToxicParser.Pratt.parse_when_binary_rhs/8                                               1474 0.00    330    0.22
Toxic.NormalTokenizer.String.handle_heredocs/6                                          3618 0.00    330    0.09
ToxicParser.Grammar.Strings.has_interpolations?/1                                       7573 0.00    331    0.04
ToxicParser.Grammar.DoBlocks.attach_do_block/4                                          2153 0.00    332    0.15
:binary.matches/2                                                                         20 0.00    339   16.95
ToxicParser.Grammar.Keywords.try_parse_call_args_no_parens_kw/3                         8008 0.00    339    0.04
anonymous fn/1 in ToxicParser.Grammar.Containers.finalize_tuple_items/1                 9278 0.00    343    0.04
:unicode_util.gc/1                                                                      8149 0.00    350    0.04
anonymous fn/2 in ToxicParser.State.line_index/1                                       10079 0.00    352    0.03
:erlang.iolist_to_binary/1                                                              6688 0.00    366    0.05
ToxicParser.Grammar.Strings.parse_heredoc/5                                              836 0.00    367    0.44
anonymous fn/4 in ToxicParser.Grammar.Calls.maybe_nested_call/4                         9364 0.00    368    0.04
ToxicParser.Grammar.Strings.parse_sigil/5                                                979 0.00    372    0.38
