ToxicParser Profiler
====================
Target: parser
Profiler: auto
Profile type: calls
Matching: all functions
File limit: 50

Projects: man, bin, LICENSES, .ort, .github, lib, .git
Collected 50 files to profile

Loading code...
Running baseline measurement...

Baseline Results:
-----------------
Files processed: 50
Total AST nodes: 90645
Total bytes: 1330661
Baseline time: 3288.15 ms
Throughput: 27567.0 AST nodes/sec
Throughput: 395.2 KB/sec

Running profiler (auto, calls)...

Using tprof for call counting (OTP 27+)
Warmup...


Profile results over all processes
#                                                                                        CALLS      %
Total                                                                                423010958 100.00
ToxicParser.Grammar.Keywords.parse_kw_value/5                                            15252   0.00
ToxicParser.Pratt.parse_paren_call_base/4                                                15282   0.00
ToxicParser.Grammar.Stabs.check_and_collect_stab_body/5                                  16252   0.00
ToxicParser.Pratt.is_paren_call_valid/1                                                  16254   0.00
ToxicParser.Pratt.led_call/6                                                             16254   0.00
ToxicParser.Grammar.Containers.parse_container_base/3                                    16355   0.00
ToxicParser.Pratt.led_dot/6                                                              16356   0.00
ToxicParser.Grammar.Dots.parse_member/4                                                  16494   0.00
anonymous fn/1 in ToxicParser.Grammar.Blocks.build_section_value/1                       16512   0.00
ToxicParser.Grammar.DoBlocks.maybe_do_block/4                                            16919   0.00
ToxicParser.Grammar.Strings.closing_for/1                                                17047   0.00
ToxicParser.Grammar.Strings.string_kind/1                                                17047   0.00
ToxicParser.Grammar.Blocks.maybe_annotate_and_consume_eoe/2                              17308   0.00
Enum.any?/2                                                                              17519   0.00
ToxicParser.Grammar.Strings.has_interpolations?/1                                        17519   0.00
anonymous fn/4 in ToxicParser.Grammar.Bitstrings.parse_base/3                            17972   0.00
anonymous fn/1 in ToxicParser.Grammar.Bitstrings.finalize_bitstring_items/1              17972   0.00
Keyword.delete/2                                                                         18680   0.00
ToxicParser.Grammar.Blocks.token_meta/1                                                  19944   0.00
ToxicParser.Grammar.Calls.handle_no_parens_arg/6                                         19991   0.00
:elixir_interpolation.unescape_string/1                                                  20064   0.00
:elixir_interpolation.unescape_string/2                                                  20064   0.00
:elixir_interpolation.unescape_chars/2                                                   20064   0.00
ToxicParser.Grammar.Strings.safe_unescape/1                                              20064   0.00
anonymous fn/1 in ToxicParser.Grammar.Strings.has_interpolations?/1                      20170   0.00
ToxicParser.Precedence.stab_op_bp/0                                                      20500   0.00
ToxicParser.Precedence.bp_from_binary/1                                                  20504   0.00
ToxicParser.Grammar.Calls.parse_no_parens_args/5                                         20627   0.00
ToxicParser.Pratt.extract_meta/1                                                         20814   0.00
ToxicParser.Grammar.Keywords.parse_kw_pair/5                                             21415   0.01
ToxicParser.EventLog.env/3                                                               23100   0.01
ToxicParser.Grammar.Calls.parse_paren_call/4                                             23650   0.01
anonymous fn/4 in ToxicParser.Grammar.Calls.maybe_nested_call/4                          23650   0.01
ToxicParser.Grammar.Stabs.apply_parens_meta/3                                            23944   0.01
ToxicParser.Grammar.Stabs.build_stab_body/3                                              23944   0.01
ToxicParser.Grammar.Stabs.extract_trailing_when_guard/1                                  23944   0.01
ToxicParser.Grammar.Stabs.parse_stab_body/4                                              23944   0.01
